Date,Open,High,Low,Close
2016-10-03,774.25,776.065002,769.50,772.559998
2016-10-04,776.030029,778.710022,772.890015,776.429993
2016-10-05,779.309998,782.070007,775.650024,776.469971
2016-10-06,779.000000,780.479980,775.539978,776.859985
2016-10-07,779.659973,779.659973,770.750000,775.080017
